id,district,microdistrict,city,area,ceiling_height,year,add_time,update_time,rooms,text,housing_estate,floor,total_floors,building_type1,building_type2,lat,lng,currency,price,street,build_number,total_area,living_area,kitchen_area,with_hosts,not_assignment,collateral_real_estate,from_builder,by_assignment,no_commission,contract_of_lifelong_maintenance,exclusive,surrendered_first_time,without_finishing,without_a_balcony,common_kitchen,is_tech_floor,do_not_disturb_mediators
335465240,0,36,4,,3,2011,1479071892,1491818430,1,,14,18,25,1,,50.430649,30.483385,2,129000,525,2а,61,26,17,True,False,False,False,False,False,False,False,False,False,False,False,False,False
335047660,1,,4,,3,2014,1481898697,1491498814,3,,85,9,16,1,,50.409632,30.544295,1,3000,517,20,130,90,14,,,,,,,,,,,,,,
338070736,5,17,4,,2.75,2006,1490263976,1491827170,3,,,8,16,1,12,50.407161,30.624499,2,90000,788,35,100,58.4,13,,,,,,,,,,,,,,
336870627,5,45,4,,2.7,2006,1487080655,1491811906,2,,,24,25,1,9,50.400312,30.628656,2,108000,744,2а,110,48,13.4,,,,,,,,,,,,,,
338522397,0,48,4,,3,2007,1491500878,1491833512,3,,,2,25,1,9,50.435969,30.464553,2,74000,317,13е,91,53,12,True,,False,False,False,False,False,False,False,False,False,False,False,False
335452750,1,7,4,,2.75,1961,1477468434,1491818799,3,,,3,5,0,7,50.414206,30.549253,2,73000,217,13,47,33,6,,,,,,,,,,,,,,
336249897,1,31,4,,,,1485518153,1491496807,2,,108,10,15,,,50.417584435,30.5294427462,1,2500,276,5,64,35,12,True,,False,False,False,False,False,False,False,False,False,False,False,False
330859398,1,7,4,,,,1469596202,1489993820,,,,21,21,,,50.409127,30.554227,1,2500,574,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False
336127431,1,,4,,,,1485266804,1491758591,3,,85,,,,,50.4114007222,30.5455394831,1,2550,517,,124,,,True,,False,False,False,False,False,False,False,False,False,False,False,False
338542973,1,26,4,,3,2005,1392079664,1491910803,3,,,13,27,1,9,50.426592,30.543139,1,2800,231,13,139,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False
337718133,1,7,4,,2.75,1983,1489267622,1489450972,4,,,10,12,0,12,50.421724,30.547872,2,119000,28,4а,85,50,11,True,False,False,False,False,False,False,False,False,False,False,False,False,False
335670407,1,,4,,3,2016,1484130282,1491759933,3,,85,,,,,50.409476,30.545791,1,2750,517,11,114,,,True,,False,False,False,False,False,False,False,False,False,False,False,False
337563129,9,41,4,,2.75,2010,1488834415,1491909528,2,,,3,25,1,9,50.52174,30.463793,2,73200,39,7,75.4,34,13.3,True,False,False,False,False,False,False,False,False,False,False,False,False,False
338259676,9,16,4,,,,1490801149,1491670514,3,,,12,16,3,,50.495914,30.514531,2,73000,230,,70,43,10,,,,,,,,,,,,,,
338760035,7,36,4,,2.7,2012,1491902896,1491905446,2,,119,20,24,1,,50.391764,30.479985,2,90000,728,3г,96,43,19,True,False,False,False,False,False,False,False,False,False,False,False,False,False
